pk;label;lat;lon;index_ruban;s_km;distance_m
752.400;LIMITE ADIF-LFPSA;42.2941984;2.9302603;1100;290.040;110.1
748.900;FIGUERES-VILAFANT;42.2645806;2.9430284;1089;286.707;24.9
714.700;GIRONA;41.9793708;2.8169565;878;206.507;86.1
710.700;BIF. GIRONA MERCADERIES;41.9483622;2.8046240;821;144.566;13.2
703.500;VILOBI D'ONYAR;41.8864539;2.7665443;728;122.086;80.9
682.000;BASE MTO. RIELLS;41.7451355;2.6202270;597;66.514;12.3
678.100;RIELLS-A. V.;41.7295430;2.5787401;563;62.297;331.1
662.100;LLINARS-A. V.;41.6491868;2.4216645;454;46.263;76.7
640.500;BIF. MOLLET;41.5298673;2.2192540;265;24.068;17.6
627.700;LA SAGRERA AV;41.4213745;2.1940176;126;10.730;275.1
621.000;BARCELONA SANTS;41.3789611;2.1398342;69;4.346;21.4
616.000;BIF. CAN TUNIS-A. V.;41.3439031;2.1146083;0;0.000;652.1
615.900;CAN TUNIS-A. V.;41.3437519;2.1154911;0;0.000;666.8
